"NO.","PART DESCRIPTION","REF.","STOCK NO.","PART NO.","CAGE"
"21","Adapter, network, I/F, PCI, UTP, BNC","","NSL","150-0388-001","57219"
"22","Card Assembly, controller, PCI, raid","","7035-04-000-6158","DAC960PTL-0","0H504"
"23","Fan, brushless, dc,12 v,1-9/16 inch square,7/16 inch wide, used on dataport","","4140-04-000-9855","DPFAN","0NCS7"
"24","PCB Assembly, ethernet, 10/100 single port","","5998-04-000-5695","300-0227-001","57219"
"24","PCB Assembly, ethernet, 10/100 single port","","5998-04-000-5695","3C905B-TX","64034"
"24","PCB Assembly, ethernet, 10/100 single port","","5998-04-000-5695","3C905C-TX","64034"
"25","Power Supply, 1400 VA, 6 AC outlets","","6130-10-000-8370","SUA1500RM2U","0MG77"
"25","Power Supply, 1400 VA, 6 AC outlets","","6130-10-000-8370","121K185H01","97942"
"26","Connector, BNC, tee, 50 ohms","","5935-01-281-8092","124-0688-001","57219"
"26","Connector, BNC, tee, 50 ohms","","5935-01-281-8092","27215","0T688"
"26","Connector, BNC, tee, 50 ohms","","5935-01-281-8092","H8223-00","15476"
"27","Connector terminator, BNC, 50 ohms","","5895-02-000-4591","KC-89-64","91836"
"27","Connector terminator, BNC, 50 ohms","","5895-02-000-4591","FC135","59951"
"28","Modem, external","","5895-04-000-6081","USR5686D","1B8Q7"
"28","Modem, external","","5895-04-000-6081","102-0366-001","57219"
"29","Cable Assembly, modem, 15 foot","","6150-03-000-4612","156-0381-001","57219"
"29","Cable Assembly, modem, 15 foot","","6150-03-000-4612","5045-0015","4T656"
"30","Nameplate, 7.5 mm, with adhesive","","NSL","H66355-A75-K1","ZAHNL"
"31","Label, cabinet ID, PICS","","NSL","32.1557.711-01","57219"
"32","Fan, power supply","","NSL","3110KL-04W-B50","57219"
